"#","ML#","Type","","Curr Price","Status","Address","Subd/Complex","Area","City","County","Total Bedrooms","Total Full Baths","Total Half Baths","Year Built","Photo Count","List Date","Expiration Date","Closing Date"
"1","5790416","DET","","$425,000","A","3075 Sandy Plains Road","Cherry Tree Lane","82","Marietta","Cobb","4","4","1","2006","40","01/07/2017","",""
"1","5790443","DET","","$425,000","A","10905 Shallowford Road","Lake Charles Estates","13","Roswell","Fulton","5","3","1","1981","0","01/07/2017","",""
"1","5789981","DET","","$424,900","A","251 Allendale Drive","Fossett Farms","113","Canton","Cherokee","4","4","1","1999","29","01/06/2017","",""
"1","5790141","DET","","$422,000","A","204 River Laurel Way","Laurel Brooke","113","Woodstock","Cherokee","5","4","1","2004","40","01/06/2017","",""
"1","5790236","DET","","$420,000","A","2168 Melante Drive NE","Martin Manor","23","Atlanta","Fulton","4","2","0","1964","25","01/06/2017","",""
"1","5790279","DET","","$420,000","A","1753 Dyson Drive Drive NE","Chelsea Heights","52","Atlanta","Dekalb","3","2","0","1957","14","01/06/2017","",""
"1","5790222","DET","","$419,000","A","479 Wilfawn Way","Village At Avondale","52","Avondale Estates","Dekalb","4","2","1","2002","18","01/06/2017","",""
"1","5790258","DET","","$419,000","A","3251 CROSS Road","None","62","Buford","Gwinnett","3","2","0","1982","0","01/06/2017","",""
"1","5790173","DET","","$415,000","A","3360 Northumberland Place","Chimney Lakes","82","Roswell","Cobb","4","2","1","1981","28","01/06/2017","",""
"1","5790226","DET","","$415,000","A","12512 Waterside Drive","Waterside","13","Alpharetta","Fulton","6","5","0","2001","40","01/06/2017","",""
"1","5790256","DET","","$399,900","A","441 Hidden Branches Trail","Hidden Branches","113","Canton","Cherokee","3","2","1","1989","16","01/06/2017","",""
